Sr.No,Institute Name,Region,State,District,City,User Group,Location Display,Rating,Synthetic NIRF Rank,Short Description,Tag1,Tag2,Tag3,Ownership,Fees_Lakh,Fees_Display,Avg_Package_LPA,Avg_Package_Display,ROI_Score,Placement_Score,Faculty_Score,Campus_Score
38,IIM Bangalore,South,Karnataka,Bangalore,Bangalore,MBA,"Bangalore, Karnataka",8.9,38,Top IIM with excellent faculty,Business Excellence,Tech Hub,Global Recognition,Government,25,₹25 Lakh,29,₹29 LPA (avg),116,9,9.1,8.9
39,IIM Calcutta,East,West Bengal,Kolkata,Kolkata,MBA,"Kolkata, West Bengal",8.8,39,Oldest IIM with strong academics,Business Excellence,Historic Institution,Strong Faculty,Government,25,₹25 Lakh,28,₹28 LPA (avg),112,8.9,8.8,8.7
40,IIM Indore,Central,Madhya Pradesh,Indore,Indore,MBA,"Indore, Madhya Pradesh",8.6,40,Emerging IIM with good placements,Business Excellence,Modern Campus,Growing Excellence,Government,20,₹20 Lakh,26,₹26 LPA (avg),130,8.5,8.6,8.4
41,VIT Vellore,South,Tamil Nadu,Vellore,Vellore,B.Tech,"Vellore, Tamil Nadu",8.1,41,Top private engineering college,Private Excellence,Global Exposure,Strong Placements,Private,7.83,₹7.83 Lakh,8.99,₹8.99 LPA,114.7,8,8.1,8.2
42,Amity University,North,Uttar Pradesh,Noida,Noida,B.Tech,"Noida, Uttar Pradesh",7.8,42,Private university with good infrastructure,Private University,Modern Campus,Good Placements,Private,3.12,₹3.12 Lakh,6.5,₹6.5 LPA,208.33,7.7,7.8,7.9
43,Lovely Professional University,North,Punjab,Jalandhar,Jalandhar,B.Tech,"Jalandhar, Punjab",8.2,43,Large private university with good placements,Private University,Modern Infrastructure,Good Faculty,Private,3.6,₹3.60 Lakh,7.5,₹7.5 LPA,208.33,8,8.1,8.3
44,UPES Dehradun,North,Uttarakhand,Dehradun,Dehradun,B.Tech,"Dehradun, Uttarakhand",8,44,Meritorious private university,Private Excellence,Scenic Location,Good Faculty,Private,12,₹12 Lakh,9.5,₹9.5 LPA,79.17,8,8.1,8
45,Chitkara University,North,Punjab,Mohali,Mohali,B.Tech,"Mohali, Punjab",7.9,45,Private university with good infrastructure,Private University,Modern Campus,Good Placements,Private,11,₹11 Lakh,8,₹8 LPA,72.73,7.8,7.9,8
46,Chandigarh University,North,Punjab,Mohali,Mohali,B.Tech,"Mohali, Punjab",8.1,46,Rapidly growing private university,Private Excellence,Modern Infrastructure,Good Faculty,Private,10.5,₹10.5 Lakh,9.2,₹9.2 LPA,87.62,8,8.1,8.2
47,Dayananda Sagar University,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.8,47,Private engineering college,Private College,Tech Hub,Good Placements,Private,8.5,₹8.5 Lakh,7,₹7 LPA,82.35,7.7,7.8,7.9
48,SRM Institute Chennai,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.7,48,Large private university with good infrastructure,Private University,Modern Campus,Good Placements,Private,1.7,₹1.70 Lakh,6.5,₹6.5 LPA,382.35,7.6,7.7,7.8
49,Anna University,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.6,49,State university with many affiliated colleges,Government University,Affordable Fees,Strong Alumni,Government,0.47,₹0.47 Lakh,6,₹6 LPA,1276.6,7.5,7.6,7.7
50,Jadavpur University,East,West Bengal,Kolkata,Kolkata,B.Tech,"Kolkata, West Bengal",7.9,50,Government university with excellent ROI,Government University,Affordable Fees,Historic Institution,Government,0.1,₹0.1 Lakh,25,₹25 LPA,25000,7.8,7.9,8
51,NIT Kurukshetra,North,Haryana,Kurukshetra,Kurukshetra,B.Tech,"Kurukshetra, Haryana",7.9,51,Government NIT with good placements,Government NIT,Affordable Fees,Good Faculty,Government,3.4,₹3.4 Lakh,9.5,₹9.5 LPA,279.41,7.8,7.9,8
52,NIT Srinagar,North,Jammu & Kashmir,Srinagar,Srinagar,B.Tech,"Srinagar, Jammu & Kashmir",7.8,52,NIT in valley with good potential,Government NIT,Scenic Location,Growing Infrastructure,Government,2.5,₹2.5 Lakh,8.5,₹8.5 LPA,340,7.7,7.8,7.9
53,NIT Surat,West,Gujarat,Surat,Surat,B.Tech,"Surat, Gujarat",8,53,Growing NIT in industrial city,Government NIT,Good Placements,Modern Infrastructure,Government,2.8,₹2.8 Lakh,9,₹9 LPA,321.43,7.9,8,8.1
54,BIT Mesra Ranchi,East,Jharkhand,Ranchi,Ranchi,B.Tech,"Ranchi, Jharkhand",8,54,Private engineering college with good infrastructure,Private College,Good Faculty,Strong Placements,Private,16.77,₹16.77 Lakh,11.5,₹11.5 LPA,68.61,8,8,8
55,DA-IICT Gandhinagar,West,Gujarat,Gandhinagar,Gandhinagar,B.Tech,"Gandhinagar, Gujarat",8.1,55,Private institute with IT focus,Private Institute,IT Specialization,Good Placements,Private,12.45,₹12.45 Lakh,14.5,₹14.5 LPA,116.53,8,8.1,8.2
56,Vellore Institute of Technology,South,Tamil Nadu,Vellore,Vellore,M.Tech,"Vellore, Tamil Nadu",8,56,Private university with global exposure,Private University,Global Partnerships,Modern Infrastructure,Private,7.5,₹7.5 Lakh,11,₹11 LPA,146.67,8,8,8.1
57,Manipal University,South,Karnataka,Manipal,Manipal,B.Tech,"Manipal, Karnataka",7.9,57,Large private university with good infrastructure,Private University,Campus Life,Good Placements,Private,10.5,₹10.5 Lakh,8.5,₹8.5 LPA,80.95,7.9,7.9,8
58,ChristUniversity,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.8,58,Religious private university with good academics,Private University,Strong Faculty,Research Focus,Private,8,₹8 Lakh,6.5,₹6.5 LPA,81.25,7.8,7.8,7.9
59,PSG College of Technology,South,Tamil Nadu,Coimbatore,Coimbatore,B.Tech,"Coimbatore, Tamil Nadu",8.2,59,Top private college with excellent placements,Private College,Strong Faculty,High Placements,Private,4.5,₹4.5 Lakh,10,₹10 LPA,222.22,8.2,8.1,8.3
61,AIT Pune,West,Maharashtra,Pune,Pune,B.Tech,"Pune, Maharashtra",8.1,61,Private engineering college with good infrastructure,Private College,Good Faculty,Good Placements,Private,7.2,₹7.2 Lakh,8,₹8 LPA,111.11,8,8.1,8.2
62,RVCE Bangalore,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.9,62,Old prestigious private college,Private College,Historic Institution,Good Alumni,Private,4.5,₹4.5 Lakh,7.5,₹7.5 LPA,166.67,7.9,7.9,8
63,ICT Mumbai,West,Maharashtra,Mumbai,Mumbai,B.Tech,"Mumbai, Maharashtra",8,63,Specialized chemical technology institute,Government Institute,Chemical Focus,Good Placements,Government,3.56,₹3.56 Lakh,10,₹10 LPA,280.9,8,8,8.1
64,College of Engineering Guindy,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.8,64,Old government college with strong alumni,Government College,Historic Institution,Good Infrastructure,Government,0.5,₹0.50 Lakh,7.5,₹7.5 LPA,1500,7.8,7.8,7.9
65,Savitribai Phule Pune University,West,Maharashtra,Pune,Pune,B.Tech,"Pune, Maharashtra",7.7,65,State university with many colleges,Government University,Affordable Fees,Strong Alumni,Government,0.3,₹0.30 Lakh,6.5,₹6.5 LPA,2166.67,7.6,7.7,7.8
66,NIT Tirupati,South,Andhra Pradesh,Tirupati,Tirupati,B.Tech,"Tirupati, Andhra Pradesh",7.9,66,Newer NIT with good infrastructure,Government NIT,Growing Institute,Good Faculty,Government,3.5,₹3.5 Lakh,10.5,₹10.5 LPA,300,7.9,7.9,8
67,NIT Jamshedpur,East,Jharkhand,Jamshedpur,Jamshedpur,B.Tech,"Jamshedpur, Jharkhand",7.8,67,NIT with industrial exposure,Government NIT,Industry Links,Good Placements,Government,2.8,₹2.8 Lakh,9,₹9 LPA,321.43,7.8,7.8,7.9
68,VJTI Mumbai,West,Maharashtra,Mumbai,Mumbai,B.Tech,"Mumbai, Maharashtra",7.9,68,Government engineering college,Government College,Historic Institution,Good Faculty,Government,1.2,₹1.20 Lakh,9.5,₹9.5 LPA,791.67,7.9,7.9,8
69,CEG Anna University,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.8,69,Government engineering college,Government College,Historic Institution,Good Placements,Government,0.5,₹0.50 Lakh,8,₹8 LPA,1600,7.8,7.8,7.9
70,AMITY Gurgaon,North,Haryana,Gurgaon,Gurgaon,B.Tech,"Gurgaon, Haryana",7.7,70,Private university near Delhi,Private University,Metro Location,Good Placements,Private,3.5,₹3.50 Lakh,8,₹8 LPA,228.57,7.6,7.7,7.8
71,NIT Hamirpur,North,Himachal Pradesh,Hamirpur,Hamirpur,B.Tech,"Hamirpur, Himachal Pradesh",7.8,71,Government NIT in hill state,Government NIT,Scenic Location,Good Faculty,Government,2.5,₹2.5 Lakh,8,₹8 LPA,320,7.8,7.8,7.9
72,NIT Silchar,North-East,Assam,Silchar,Silchar,B.Tech,"Silchar, Assam",7.7,72,Government NIT in North-East,Government NIT,Regional Institution,Growing Excellence,Government,2.2,₹2.2 Lakh,7.5,₹7.5 LPA,340.91,7.6,7.7,7.8
73,NIT Nagaland,North-East,Nagaland,Kohima,Kohima,B.Tech,"Kohima, Nagaland",7.6,73,NIT in North-East,Government NIT,Regional Focus,Emerging Excellence,Government,2,₹2 Lakh,7,₹7 LPA,350,7.5,7.6,7.7
74,NIT Meghalaya,North-East,Meghalaya,Shillong,Shillong,B.Tech,"Shillong, Meghalaya",7.6,74,NIT in North-East India,Government NIT,Mountain City,Growing Institute,Government,2,₹2 Lakh,7,₹7 LPA,350,7.5,7.6,7.7
75,NIT Arunachal Pradesh,North-East,Arunachal Pradesh,Papum Pare,Papum Pare,B.Tech,"Papum Pare, Arunachal Pradesh",7.5,75,NIT in far North-East,Government NIT,Remote Location,Emerging Institute,Government,1.8,₹1.8 Lakh,6.5,₹6.5 LPA,361.11,7.4,7.5,7.6
76,NIT Mizoram,North-East,Mizoram,Aizawl,Aizawl,B.Tech,"Aizawl, Mizoram",7.5,76,NIT in North-East,Government NIT,Cultural Diversity,Emerging Excellence,Government,1.8,₹1.8 Lakh,6.5,₹6.5 LPA,361.11,7.4,7.5,7.6
77,NIT Manipur,North-East,Manipur,Imphal,Imphal,B.Tech,"Imphal, Manipur",7.5,77,NIT in North-East,Government NIT,Cultural Center,Growing Institute,Government,1.8,₹1.8 Lakh,6.5,₹6.5 LPA,361.11,7.4,7.5,7.6
78,IIT Tirupati,South,Andhra Pradesh,Tirupati,Tirupati,B.Tech,"Tirupati, Andhra Pradesh",8,78,Newer IIT with growing infrastructure,Government IIT,Holy City Location,Modern Facilities,Government,2.5,₹2.5 Lakh,18,₹18 LPA,720,8,8.1,8
79,IIT Bhilai,Central,Chhattisgarh,Bhilai,Bhilai,B.Tech,"Bhilai, Chhattisgarh",7.9,79,Newer IIT with modern campus,Government IIT,Modern Infrastructure,Modern Facilities,Government,2.2,₹2.2 Lakh,17,₹17 LPA,772.73,7.9,8,7.9
80,IIT Goa,West,Goa,Bicholim,Bicholim,B.Tech,"Bicholim, Goa",7.9,80,Newer IIT in coastal state,Government IIT,Beachside,Emerging Excellence,Government,2.2,₹2.2 Lakh,17,₹17 LPA,772.73,7.9,8,7.9
81,IIT Indore,Central,Madhya Pradesh,Indore,Indore,B.Tech,"Indore, Madhya Pradesh",8.1,81,Private sector partnership IIT,Government IIT,Modern Infrastructure,Good Faculty,Government,2.5,₹2.5 Lakh,18.5,₹18.5 LPA,740,8.1,8.1,8
82,IIT Jammu,North,Jammu & Kashmir,Jammu,Jammu,B.Tech,"Jammu, Jammu & Kashmir",7.8,82,Newer IIT in Jammu region,Government IIT,Lamb Valley Location,Growing Excellence,Government,2.2,₹2.2 Lakh,16,₹16 LPA,727.27,7.8,7.9,7.8
83,IIT Dharwad,South,Karnataka,Dharwad,Dharwad,B.Tech,"Dharwad, Karnataka",7.9,83,Newer IIT in Karnataka,Government IIT,Growing Institute,Modern Campus,Government,2.3,₹2.3 Lakh,17.5,₹17.5 LPA,760.87,7.9,8,7.9
84,KIIT Bhubaneswar,East,Odisha,Bhubaneswar,Bhubaneswar,B.Tech,"Bhubaneswar, Odisha",8,84,Private university with good infrastructure,Private University,Modern Campus,Good Faculty,Private,11.5,₹11.5 Lakh,9,₹9 LPA,78.26,8,8,8.1
91,AllahabadUniversity,North,Uttar Pradesh,Allahabad,Allahabad,B.Tech,"Allahabad, Uttar Pradesh",7.5,91,Central university with historic legacy,Government University,Historic Institution,Affordable Fees,Government,0.3,₹0.30 Lakh,6.5,₹6.5 LPA,2166.67,7.4,7.5,7.6
92,ANIT Allahabad,North,Uttar Pradesh,Allahabad,Allahabad,B.Tech,"Allahabad, Uttar Pradesh",7.7,92,Government engineering college,Government College,Historic Institution,Good Alumni,Government,1.4,₹1.40 Lakh,8.5,₹8.5 LPA,607.14,7.6,7.7,7.8
93,MECT Thrissur,South,Kerala,Thrissur,Thrissur,B.Tech,"Thrissur, Kerala",7.8,93,Government engineering college in Kerala,Government College,Good Faculty,Good Placements,Government,1.5,₹1.50 Lakh,8,₹8 LPA,533.33,7.7,7.8,7.9
94,NIT Agartala,North-East,Tripura,Agartala,Agartala,B.Tech,"Agartala, Tripura",7.6,94,Government NIT in North-East,Government NIT,Regional Institute,Growing Excellence,Government,2,₹2 Lakh,7,₹7 LPA,350,7.5,7.6,7.7
95,GCE Thrissur,South,Kerala,Thrissur,Thrissur,B.Tech,"Thrissur, Kerala",7.7,95,Government engineering college,Government College,Good Infrastructure,Good Faculty,Government,1.2,₹1.20 Lakh,8.5,₹8.5 LPA,708.33,7.6,7.7,7.8
96,Sairam Institute,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.5,96,Private engineering college,Private College,Good Infrastructure,Good Placements,Private,6,₹6 Lakh,5.5,₹5.5 LPA,91.67,7.4,7.5,7.6
97,Damodaram Sanjivayya National Law University,South,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Law,"Visakhapatnam, Andhra Pradesh",7.8,97,Government law college,Government Law College,Specialized Stream,Good Faculty,Government,0.5,₹0.50 Lakh,6,₹6 LPA,1200,7.7,7.8,7.9
98,Nalanda University,East,Bihar,Nalanda,Nalanda,B.Tech,"Nalanda, Bihar",7.4,98,Central university with historic name,Government University,Historic Legacy,Emerging Excellence,Government,0.4,₹0.40 Lakh,5.5,₹5.5 LPA,1375,7.3,7.4,7.5
99,AMU Aligarh,North,Uttar Pradesh,Aligarh,Aligarh,B.Tech,"Aligarh, Uttar Pradesh",7.7,99,Minority university with historic legacy,Private University,Historic Institution,Diverse Community,Private,2,₹2 Lakh,7.5,₹7.5 LPA,375,7.6,7.7,7.8
100,AMU Aligarh (Deemed),North,Uttar Pradesh,Aligarh,Aligarh,M.Tech,"Aligarh, Uttar Pradesh",7.6,100,Minority university postgraduate programs,Private University,Specialized Programs,Good Faculty,Private,1.5,₹1.50 Lakh,9,₹9 LPA,600,7.5,7.6,7.7
101,ISM Roorkee,North,Uttar Pradesh,Roorkee,Roorkee,B.Tech,"Roorkee, Uttar Pradesh",7.8,101,Affil iated engineering college,Private College,Good Infrastructure,Good Placements,Private,5.5,₹5.5 Lakh,8.5,₹8.5 LPA,154.55,7.7,7.8,7.9
102,NIT Uttarakhand,North,Uttarakhand,Sonepat,Sonepat,B.Tech,"Sonepat, Uttarakhand",7.7,102,NIT in hill state,Government NIT,Scenic Location,Growing Institute,Government,2.8,₹2.8 Lakh,9,₹9 LPA,321.43,7.6,7.7,7.8
103,GCET Kakinada,South,Andhra Pradesh,Kakinada,Kakinada,B.Tech,"Kakinada, Andhra Pradesh",7.5,103,Government engineering college,Government College,Affordable Fees,Good Faculty,Government,0.8,₹0.80 Lakh,6.5,₹6.5 LPA,812.5,7.4,7.5,7.6
104,VIDYAVARTHI College,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.5,104,Private engineering college,Private College,Good Infrastructure,Affordable Fees,Private,4,₹4 Lakh,6,₹6 LPA,150,7.4,7.5,7.6
105,IEIT Lucknow,North,Uttar Pradesh,Lucknow,Lucknow,B.Tech,"Lucknow, Uttar Pradesh",7.6,105,Engineering institute,Government Institute,Good Infrastructure,Good Faculty,Government,1.5,₹1.50 Lakh,8,₹8 LPA,533.33,7.5,7.6,7.7
106,KECT Madurai,South,Tamil Nadu,Madurai,Madurai,B.Tech,"Madurai, Tamil Nadu",7.6,106,Government engineering college,Government College,Affordable Fees,Good Faculty,Government,0.9,₹0.90 Lakh,7.5,₹7.5 LPA,833.33,7.5,7.6,7.7
107,SCET Salem,South,Tamil Nadu,Salem,Salem,B.Tech,"Salem, Tamil Nadu",7.5,107,Government engineering college,Government College,Affordable Fees,Good Infrastructure,Government,0.85,₹0.85 Lakh,7,₹7 LPA,823.53,7.4,7.5,7.6
108,AVITC Tiruppur,South,Tamil Nadu,Tiruppur,Tiruppur,B.Tech,"Tiruppur, Tamil Nadu",7.6,108,Private engineering college,Private College,Good Infrastructure,Good Placements,Private,6.5,₹6.5 Lakh,7.5,₹7.5 LPA,115.38,7.5,7.6,7.7
109,Sairam Engineering,South,Tamil Nadu,Chennai,Chennai,M.Tech,"Chennai, Tamil Nadu",7.5,109,Private engineering college postgraduate,Private College,Specialized Programs,Good Faculty,Private,5,₹5 Lakh,8,₹8 LPA,160,7.4,7.5,7.6
